Title,Anger,Fear,Joy,Love,Sadness,Surprise,Protagonist Roles,Time Period,Dominant Time of Day,Genres
From Here to Eternity,0.93609482,0.045763154,0.00745563,0.000819946,0.008753872,0.001112612,Realist,Past,Daytime,"['Romance', 'War', 'Drama']"
Frozen Disney,0.852735162,0.10204044,0.019437296,0.003899447,0.020261792,0.001625837,Detective/Spy,Future,Daytime,"['Adventure', 'Comedy']"
Frozen River,0.99197644,0.005952264,0.000668668,0.000272657,0.000896203,0.000233802,Law Person/Outlaw,Past,Daytime,"['Crime', 'Drama']"
Frozen,0.950416505,0.019077746,0.023138981,0.000982373,0.005793286,0.000591096,Realist,Future,Daytime,"['Thriller', 'Drama']"
Fruitvale Station,0.001451428,0.0007616,0.993590474,0.000622611,0.003323282,0.000250514,Soldier,Past,Daytime,['Drama']
Funny People,0.031177981,0.001984816,0.944565833,0.002348747,0.01742021,0.002502403,Detective/Spy,Past,Nighttime,"['Comedy', 'Drama']"
G.I. Jane,0.912889302,0.063842252,0.016329892,0.002194936,0.003774675,0.000968949,Realist,Past,Daytime,"['Drama', 'Action']"
G.I. Joe The Rise of Cobra,0.937896371,0.010941027,0.036930509,0.003540911,0.009348018,0.001343247,Realist,Past,Daytime,"['Thriller', 'Adventure', 'Sci-Fi', 'Action']"
Game 6,0.109375291,0.307821095,0.038277354,0.002646837,0.537954092,0.003925298,Fighter,Past,Nighttime,"['Comedy', 'Drama']"
Gamer,0.964030206,0.007508909,0.019862087,0.001560649,0.006615002,0.000423123,Realist,Past,Daytime,"['Thriller', 'Sci-Fi', 'Action']"
Gandhi,0.00060138,0.000569737,0.001784102,0.995624483,0.000769033,0.000651352,Detective/Spy,Past,Daytime,['Drama']
Gang Related,0.180908173,0.425584018,0.013137089,0.001695018,0.377449483,0.001226243,Detective/Spy,Future,Nighttime,"['Crime', 'Drama']"
Gangs of New York,0.60767144,0.218027323,0.137731433,0.010842413,0.017367898,0.008359415,Monster/Killer/Victim,Past,Daytime,"['Crime', 'Drama']"
Garden State,0.190465137,0.505301237,0.009573614,0.001352275,0.291303635,0.002004086,Monster/Killer/Victim,Present,Daytime,"['Romance', 'Comedy', 'Drama']"
Gattaca,0.606938243,0.265018016,0.01294715,0.001844137,0.110583931,0.002668597,Detective/Spy,Past,Daytime,"['Thriller', 'Drama', 'Sci-Fi']"
Get Carter,0.63890785,0.338977605,0.003395953,0.003646459,0.013193794,0.001878366,Detective/Spy,Past,Daytime,"['Thriller', 'Crime', 'Drama', 'Action']"
Get Low,0.567170858,0.245723501,0.009018412,0.002565626,0.173750654,0.001770976,Detective/Spy,Past,Daytime,['Drama']
Get on Up,0.782441437,0.158243403,0.007120285,0.041806526,0.006642958,0.003745403,Realist,Past,Daytime,['Drama']
